Type,Timestamp,Date,Time,Morn_Aft,Day_of_Week,Day,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Location,Site,AQ_Map,Description,,,,,,,,,,,,,
Weekend Average,,,,,,,30.77,52.29333333,8.266666667,11,11.46666667,47.92666667,32500.46667,63.26,32517.3,100850.2,45.475311,-75.522397,,,,,,1,St Pierre/Rocque,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,30.77,52.29333333,8.266666667,11,11.46666667,47.92666667,32500.46667,63.26,32517.3,100850.2,45.475311,-75.522397,,,,,,1,St Pierre/Rocque,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 5,08/25/2020 9:23:19,25-Aug-20,9:23,Morning,2,Weekday,28.5,51.19,4.9,7.2,7.9,25.43,32525.2,-25.45,32592.1,100218.2,45.432199,-75.607403,,,,,,1,Blair Station,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,8/30/20 8:34,30-Aug-20,8:34:50,Morning,7,Weekend,20.09,51.805,0,0.3,0.4,74.185,32490.85,-69.27,32607.8,99854,45.432199,-75.607403,,,,,,1.75,Blair Station,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.432199,-75.607403,,,,,,,Blair Station,Site A,Low Risk,,,,,,,,,,,,,,
,9/21/20 9:26,21-Sep-20,9:26:50,Morning,1,Weekday,16.17,41.28,2.8,4.5,5,-61.81,32629.6,35.85,32568.2,102948.1,45.432199,-75.607403,,,,,,1.5,Blair Station,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,21.58666667,48.09166667,2.566666667,4,4.433333333,12.60166667,32548.55,-19.62333333,32589.36667,101006.7667,45.432199,-75.607403,,,,,,1.416666667,Blair Station,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.432199,-75.607403,,,,,,#DIV/0!,Blair Station,Site A,#DIV/0!,,,,,,,,,,,,,,
Weekday Average,,,,,,,22.335,46.235,3.85,5.85,6.45,-18.19,32577.4,5.2,32580.15,101583.15,45.432199,-75.607403,,,,,,1.25,Blair Station,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,20.09,51.805,0,0.3,0.4,74.185,32490.85,-69.27,32607.8,99854,45.432199,-75.607403,,,,,,1.75,Blair Station,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,21.58666667,48.09166667,2.566666667,4,4.433333333,12.60166667,32548.55,-19.62333333,32589.36667,101006.7667,45.432199,-75.607403,,,,,,1.416666667,Blair Station,Site A,Low Risk,,,,,,,,,,,,,,
